,Features,Importance
12,bedrooms,0.13363728461972066
3,neighbourhood_cleansedIndex,0.12022449932488964
10,accommodates,0.11598643995532186
1,cancellation_policyIndex,0.08772499795684353
13,beds,0.08271336925409893
14,minimum_nights,0.06888278491179284
4,property_typeIndex,0.05236594789640264
8,latitude,0.051872665261181776
11,bathrooms,0.05091146598586529
15,number_of_reviews,0.030699601572308253
9,longitude,0.02805659114131982
22,review_scores_value,0.027975366312163637
7,host_total_listings_count,0.025216285985927137
5,room_typeIndex,0.023036811440308384
2,instant_bookableIndex,0.022436713800213715
16,review_scores_rating,0.02035430772548814
0,host_is_superhostIndex,0.012919028196808482
31,review_scores_location_na,0.008446894822388888
29,review_scores_checkin_na,0.00564324096761177
30,review_scores_communication_na,0.004560952141844592
18,review_scores_cleanliness,0.004448866303245894
20,review_scores_communication,0.003750031972335145
21,review_scores_location,0.0037105624995560564
32,review_scores_value_na,0.003158086146356102
26,review_scores_rating_na,0.002954470746256516
28,review_scores_cleanliness_na,0.0027641081861472013
27,review_scores_accuracy_na,0.0025065117834267223
17,review_scores_accuracy,0.0015215137069789077
19,review_scores_checkin,0.0013623560763076795
6,bed_typeIndex,0.00012902023779555973
23,bedrooms_na,2.8698612857256238e-05
25,beds_na,5.244562371277361e-07
24,bathrooms_na,0.0
