,Features,Importance
12,bedrooms,0.15452161971501965
3,neighbourhood_cleansedIndex,0.11572806690109048
10,accommodates,0.1079751457584434
1,cancellation_policyIndex,0.09749243342777403
13,beds,0.08127086997393936
14,minimum_nights,0.057423856675201154
4,property_typeIndex,0.05441454341976722
11,bathrooms,0.048683146846545094
8,latitude,0.0442152390635972
22,review_scores_value,0.035032755422048485
15,number_of_reviews,0.02357104331109967
2,instant_bookableIndex,0.021696337473792557
16,review_scores_rating,0.02047146716333188
5,room_typeIndex,0.020020534190442682
7,host_total_listings_count,0.01958856688907154
0,host_is_superhostIndex,0.01571034801601487
9,longitude,0.015464714150772886
30,review_scores_communication_na,0.011630765625749665
26,review_scores_rating_na,0.010294908338333861
28,review_scores_cleanliness_na,0.00828453367253228
32,review_scores_value_na,0.007193597977965804
27,review_scores_accuracy_na,0.005571118808488108
21,review_scores_location,0.005316227199115713
31,review_scores_location_na,0.004694093088899161
18,review_scores_cleanliness,0.003800000192128305
20,review_scores_communication,0.0032079594056893318
29,review_scores_checkin_na,0.002320635798143603
19,review_scores_checkin,0.002254750478506818
17,review_scores_accuracy,0.0020333398640422088
6,bed_typeIndex,6.987555983319252e-05
23,bedrooms_na,4.7505592619769216e-05
25,beds_na,0.0
24,bathrooms_na,0.0
